villageid,villagename,acid
212002,Eken,212
212003,Hushar,212
212004,Jino Aru Plantation,212
212005,Mavunlif,212
212006,Neavu,212
212007,Peyrolles (Santo),212
212008,Ratard,212
212009,Tanavoli,212
212010,Venue,212
212011,Araki,212
212012,Baril,212
212013,Bariliaru,212
212014,Belinta,212
212015,Benmoli,212
212016,Ebenezer,212
212017,Fimele,212
212018,Funafosi,212
212019,Hasevaia,212
212020,Jarailan,212
212021,Jaraimatsa,212
212022,Jaransarere,212
212023,Karakara,212
212024,Nakere,212
212025,Namafun,212
212026,Namalo,212
212027,Naone (Santo),212
212028,Naonetas,212
212029,Narango (Santo),212
212030,Narua,212
212031,Navota Farm,212
212032,Pagaruru,212
212033,Parisa,212
212034,Patu Vora,212
212035,Penbinmoli,212
212036,Sarete,212
212037,Talua,212
212038,Taluiere,212
212039,Tangisi,212
212040,Tangoa,212
212041,Urelapa,212
212042,Venabisu,212
212043,Vipue,212
212044,Vulesepe,212
212045,Vunapisu,212
212046,Vunavosi,212
212047,Wailapa,212
212048,Kerenvosoi,212
212049,Namavun,212
212050,Tabunson,212
212051,Vatro,212
999921,Other Village,212
301001,Ahuku,301
301002,Amata,301
301003,Ambore,301
301004,Apopo,301
301005,Baegotolovatu,301
301006,Butema,301
301007,Hakwai,301
301008,Halalulu,301
301009,Halatamarino,301
301010,Hukarere,301
301011,Kwainavoha,301
301012,Lavatutambura,301
301013,Loaruburu,301
301014,Lolobinanungwa,301
301015,Lololase,301
301016,Lolombanga,301
301017,Lolongwalakesa,301
301018,Lolopepa,301
301019,Lolotinge,301
301020,Loloveveo,301
301021,Lomaeto,301
301022,Lomaki,301
301023,Lombanga,301
301024,Lombonoi,301
301025,Lombushi,301
301026,Londua,301
301027,Longwaru (West Ambae),301
301028,Loone Kukwehu,301
301029,Loone Lakua,301
301030,Lo-Onekwekwehu,301
301031,Lotalemba,301
301032,Lovanualikoutu,301
301033,Lovatumbiri,301
301034,Lovutialau,301
301035,Lovutikerekere,301
301036,Masalato,301
301037,Mataindan,301
301038,Matamata,301
301039,Matuibuleiduru,301
301040,Nabekukwonge,301
301041,Namarasama,301
301042,Nambangahake,301
301043,Namberukwonge,301
301044,Namberungwele,301
301045,Nanako,301
301046,Nangweangwea,301
301047,Natalu,301
301048,Nataluhangele,301
301049,Natuleo,301
301050,Navitora,301
301051,Navuti,301
301052,Navuturiki,301
301053,Nduindui,301
301054,Ngwarangaihaha,301
301055,Ngwaruihokota,301
301056,Numwebaivora,301
301057,Sara Lokambu,301
301058,Saraeboevutu,301
301059,Saraiboe (West Ambae),301
301060,Saraililiu,301
301061,Sarairahu,301
301062,Saralongwandu,301
301063,Saramahanga,301
301064,Saranabuka,301
301065,Saranagwelu,301
301066,Saranambuka,301
